package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
BBMM,Brownian bridge movement model,The model provides an empirical estimate of a movement path using discrete location data obtained at relatively short time intervals.,,,,SpatioTemporal,3.0,GPL-2 | GPL-3 [expanded from: GNU General Public License],
bbo,Biogeography-Based Optimization,"This package provides an R implementation of Biogeography-Based Optimization (BBO), originally invented by Prof. Dan Simon, Cleveland State University, Ohio. This method is an application of the concept of biogeography, a study of the geographical distribution of biological organisms, to optimization problems. More information about this method can be found here: http://academic.csuohio.edu/simond/bbo/.",,,,,0.1,GPL (≥ 3),
BBRecapture,Bayesian Behavioural Capture-Recapture Models,Model fitting of flexible behavioural recapture models based on conditional probability reparameterization and meaningful partial capture history quantification also referred to as meaningful behavioural covariate,"R (≥ 3.0.2), HI, locfit, lme4, secr",,,,0.1,GPL-2,
bc3net,BC3NET,"This package implements the BC3NET algorithm for gene regulatory network inference (de Matos Simoes and Frank Emmert-Streib, Bagging Statistical Network Inference from Large-Scale Gene Expression Data, PLoS ONE 7(3): e33624)","R (≥ 2.10.0), c3net, infotheo, igraph, Matrix, lattice",,,,1.0.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BCA,Business and Customer Analytics,Underlying support functions for RcmdrPlugin.BCA and a companion to the book Customer and Business Analytics: Applied Data Mining for Business Decision Making Using R by Daniel S. Putler and Robert E. Krider,"R (≥ 2.6.0), car, clv, cluster, class, flexclust, rpart, nnet, rgl, Rcmdr",,,,0.9-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BCBCSF,Bias-corrected Bayesian Classification with Selected Features,"This package is used to predict the discrete class labels based on a selected subset of high-dimensional features, such as expression levels of genes. The data are modeled with a hierarchical Bayesian models using heavy-tailed t distributions as priors. When a large number of features are available, one may like to select only a subset of features to use, typically those features strongly correlated with the response in training cases. Such a feature selection procedure is however invalid since the relationship between the response and the features has be exaggerated by feature selection. This package provides a way to avoid this bias and yield better-calibrated predictions for future cases when one uses F-statistic to select features.","R (≥ 2.13.1), abind",,,Bayesian,1.0-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BCDating,Business Cycle Dating and Plotting Tools - BCDating,Tools for Dating Business Cycles using Harding-Pagan (Quarterly Bry-Boschan) method and various plotting features.,methods,,,,0.9.3,GPL-2,
BCE,Bayesian composition estimator: estimating sample (taxonomic) composition from biomarker data,"Function to estimates taxonomic compositions from biomarker data, using a Bayesian approach.","R (≥ 2.0.1), limSolve",,,Bayesian,1.4,GPL-2 | GPL-3 [expanded from: GPL],
BCEA,Bayesian Cost Effectiveness Analysis,"Produces an economic evaluation of a Bayesian model in the form of MCMC simulations. Given suitable variables of cost and effectiveness / utility for two or more interventions, BCEA computes the most cost-effective alternative and produces graphical summaries and probabilistic sensitivity analysis",,"MASS, ggplot2, grid, R2jags, mgcv",,,2.0-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
BCEs0,Bayesian models for cost-effectiveness analysis in the presence of structural zero costs,"Implements a full Bayesian cost-effectiveness analysis in the case where the cost variable is characterised by structural zeros. The package implements the Gamma, log-Normal and Normal models for the cost variable and the Gamma, Beta, Bernoulli and Normal models for the measure of clinical effectiveness.",,R2jags,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Bchron,"Radiocarbon dating, age-depth modelling, relative sea level rate estimation, and non-parametric phase modelling",This package enables quick calibration of radiocarbon dates under various calibration curves (including user generated ones); Age-depth modelling as per the algorithm of Haslett and Parnell (2008); Relative sea level rate estimation incorporating time uncertainty in polynomial regression models; and non-parametric phase modelling via Gaussian mixtures as a means to determine the activity of a site (and as an alternative to the Oxcal function SUM).,inline,,"hdrcde, utils, MASS, ellipse, coda, mclust",ChemPhys,4.1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Bclim,Bayesian Palaeoclimate Reconstruction from Pollen,This package takes pollen/time data from lake cores and produces a Bayesian posterior distribution of palaeoclimate from that location after fitting a non-linear non-Gaussian state-space model.,"MASS, mclust","Bchron, doMC, foreach","hdrcde, statmod",,2.3.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bclust,"Bayesian clustering using spike-and-slab hierarchical model, suitable for clustering high-dimensional data","The package builds a dendrogram with log posterior as a natural distance defined by the model. It is also capable to computing Bayesian discrimination probabilities equivalent to the implemented Bayesian clustering. Spike-and-Slab models are adopted in a way to be able to produce an importance measure for clustering and discriminant variables. The method works properly for data with small sample size and high dimensions. The model parameter estimation maybe difficult, depending on data structure and the chosen distribution family.",R (≥ 2.15.2),,,"Bayesian, Cluster",1.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bcool,Bringing to light significant Columns correlated with Organism Labels,"This package provides a set of analytical tools that helps searching for sites in an alignment, which might be associated with the label of the organism (e.g. changes in columns that can be associated with the pathogenicity character of an organism)","MCMCglmm, methods, doMPI",,seqinr,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bcp,A Package for Performing a Bayesian Analysis of Change Point Problems,This package provides an implementation of an approximation to the Barry and Hartigan (1993) product partition model for the normal errors change point problem using Markov Chain Monte Carlo.  It also extends the methodology to independent multivariate series with an assumed common change point structure.,"methods, stats, graphics, foreach, iterators, grid, Rcpp (≥ 0.9.2)","DNAcopy, coda, strucchange",,"Bayesian, HighPerformanceComputing",3.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bcpa,Behavioral change point analysis of animal movement,"The Behavioral Change Point Analysis (BCPA) is a method of identifying hidden shifts in the underlying parameters of a time series, developed specifically to be applied to animal movement data which is irregularly sampled.  The original paper on which it is based is: E. Gurarie, R. Andrews and K. Laidre A novel method for identifying behavioural changes in animal movement data (2009) Ecology Letters 12:5 395-408.","Rcpp (≥ 0.10.2), intervals, plyr",knitr,,SpatioTemporal,1.0,Unlimited,
bcrm,Bayesian continual reassessment method (CRM) designs for Phase I dose-finding trials,"This package implements a wide variety of one and two-parameter Bayesian CRM designs. The program can run interactively, allowing the user to enter outcomes after each cohort has been recruited, or via simulation to assess operating characteristics.","mvtnorm, ggplot2 (≥ 0.9.2), grid","R2WinBUGS, BRugs, rjags",,ClinicalTrials,0.4.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bcv,Cross-Validation for the SVD (Bi-Cross-Validation),"This package implements methods for choosing the rank of an SVD approximation via cross validation.  It provides both Gabriel-style ""block"" holdouts and Wold-style ""speckled"" holdouts.  Also included is an implementation of the SVDImpute algorithm.  For more information about Bi-cross-validation, see Owen & Perry's 2009 AOAS article (at http://arxiv.org/abs/0908.2062) and Perry's 2009 PhD thesis (at http://arxiv.org/abs/0909.3052).",,,,,1.0,BSD (see file LICENSE),
bda,Density Estimation for Binned/Weighted Data,This package collects algorithms/functions developed for density estimation based on weighted or grouped (pre-binned) data.,"R (≥ 2.10.0), stats",,,,3.2.0-3,Unlimited,
BDgraph,Graph selection based on birth-death MCMC,The package 'BDgraph' is a statistical tool for model selection in undirected Gaussian graphical models. Our methodology is based on birth-death Markov chain Monte Carlo (BD-MCMC) algorithm which is the main function with the name 'bdgraph'.,"R (≥ 3.0.2), huge",,,,2.7,GPL (≥ 3),
bdoc,Bayesian Discrete Ordered Classification of DNA Barcodes,This package contains a function that will classify DNA barcodes as well as a few test and reference data sets.,R (≥ 2.10),,,,1.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bdpv,Inference and design for predictive values in binary diagnostic tests,Computation of asymptotic confidence intervals for negative and positive predictive values in binary diagnostic tests in case-control studies. Experimental design for hypothesis tests on predictive values.,,,,,1.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
bdsmatrix,Routines for Block Diagonal Symmetric matrices,"This is a special case of sparse matrices, used by coxme","methods, R (≥ 2.0.0)",,,,1.3-1,LGPL-2,
bdvis,Biodiversity Data Visualizations,"Biodiversity data visualizations using R would be helpful to understand completeness of biodiversity inventory, extent of geographical, taxonomic and temporal coverage, gaps and biases in data.",,rinat,"maps, plotrix, sqldf, plyr, taxize, treemap, ggplot2, grid",,0.1.0,CC0,
bdynsys,Bayesian Dynamical System Model,"The package bdynsys for panel/longitudinal data combines methods to model changes in up to four indicators over times as a function of the indicators themselves and up to three predictors using ordinary differential equations (ODEs) with polynomial terms that allow to model complex and nonlinear effects. A Bayesian model selection approach is implemented. The package provides also visualisation tools to plot phase portraits of the dynamic system, showing the complex co-evolution of two indicators over time with the possibility to highlight trajectories for specified entities (e.g. countries, individuals). Furthermore the visualisation tools allow for making predictions of the trajectories of specified entities with respect to the indicators.","R (≥ 2.10), stats, graphics, grDevices",,"plm, Formula, MASS, Hmisc, deSolve, pracma, caTools, matrixStats",,1.2,GPL-2 | GPL-3 [expanded from: GNU General Public License (≥ 2)],
beadarrayFilter,Bead filtering for Illumina bead arrays,"This package contains functions to fit the filtering model of Forcheh et al., (2012) which is used to derive the intra-cluster correlation (ICC). Model fitting is done using the modified version of the “MLM.beadarray"" function of Kim and Lin (2011).","beadarray, RColorBrewer","beadarrayExampleData, lumi",,,1.1.0,GPL-2,
beadarrayMSV,Analysis of Illumina BeadArray SNP data including MSV markers,"Imports bead-summary data from Illumina scanner. Pre-processes using a suite of optional normalizations and transformations. Clusters and automatically calls genotypes, critically able to handle markers in duplicated regions of the genome (multisite variants; MSVs). Interactive clustering if needed. MSVs with variation in both paralogs may be resolved and mapped to their respective chromosomes. Quality control including pedigree checking and visual assessment of clusters. Too large data-sets are handled by working on smaller subsets of the data in sequence.","R (≥ 2.10.0), Biobase (≥ 2.5.5), methods, geneplotter",,"rggobi, limma",,1.1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
